,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
347,2022,6,16,11,3.42,792.82,23.15,Summer,2052,0.2
348,2022,6,16,12,3.85,690.27,23.47,Summer,1884,0.2
349,2022,6,16,13,4.14,749.2,23.46,Summer,1875,0.2
350,2022,6,16,14,4.02,678.88,23.25,Summer,1887,0.2
351,2022,6,16,15,3.96,529.31,22.87,Summer,1887,0.15
352,2022,6,16,16,3.85,340.52,22.28,Summer,1881,0.15
353,2022,6,16,17,3.52,155.3,21.44,Summer,1771,0.15
354,2022,6,16,18,3.27,23.07,19.7,Summer,1856,0.2
355,2022,6,16,19,2.83,0.0,18.37,Summer,1866,0.2
356,2022,6,16,20,2.07,0.0,18.0,Summer,1694,0.2
357,2022,6,16,21,1.48,0.0,17.83,Summer,1559,0.15
358,2022,6,16,22,1.33,0.0,17.59,Summer,1479,0.15
359,2022,6,16,23,1.56,0.0,17.31,Summer,1384,0.05
360,2022,6,17,0,1.85,0.0,16.94,Summer,1109,0.05
361,2022,6,17,1,2.26,0.0,16.51,Summer,1170,0.05
362,2022,6,17,2,2.81,0.0,15.98,Summer,1164,0.05
363,2022,6,17,3,3.49,0.0,15.45,Summer,1139,0.05
364,2022,6,17,4,4.21,13.27,15.42,Summer,1136,0.05
365,2022,6,17,5,4.23,51.77,17.01,Summer,1167,0.05
366,2022,6,17,6,3.65,124.42,18.62,Summer,1173,0.05
367,2022,6,17,7,3.79,179.88,20.8,Summer,1449,0.15
368,2022,6,17,8,3.9,240.91,22.23,Summer,1798,0.15
369,2022,6,17,9,4.09,355.37,23.39,Summer,1881,0.15
370,2022,6,17,10,3.87,472.84,24.37,Summer,1869,0.2
371,2022,6,17,11,3.32,478.12,25.18,Summer,2052,0.2
372,2022,6,17,12,3.16,500.87,25.7,Summer,1884,0.2
373,2022,6,17,13,3.48,458.62,26.03,Summer,1875,0.2
374,2022,6,17,14,4.12,332.41,26.08,Summer,1887,0.2
375,2022,6,17,15,4.51,235.02,25.77,Summer,1887,0.15
376,2022,6,17,16,4.6,137.27,25.06,Summer,1881,0.15
377,2022,6,17,17,4.8,60.08,23.85,Summer,1771,0.15
378,2022,6,17,18,5.32,16.31,22.15,Summer,1856,0.2
379,2022,6,17,19,5.33,0.0,21.04,Summer,1866,0.2
380,2022,6,17,20,4.5,0.0,20.51,Summer,1694,0.2
381,2022,6,17,21,3.38,0.0,20.2,Summer,1559,0.15
382,2022,6,17,22,2.19,0.0,19.97,Summer,1479,0.15
383,2022,6,17,23,1.07,0.0,19.8,Summer,1384,0.05
384,2022,6,18,0,1.0,0.0,19.74,Summer,1109,0.05
385,2022,6,18,1,1.88,0.0,19.4,Summer,1170,0.05
386,2022,6,18,2,2.68,0.0,19.17,Summer,1164,0.05
387,2022,6,18,3,3.28,0.0,19.0,Summer,1139,0.05
388,2022,6,18,4,3.85,16.29,19.12,Summer,1136,0.05
389,2022,6,18,5,3.78,45.78,20.29,Summer,1167,0.05
390,2022,6,18,6,3.74,104.95,21.44,Summer,1173,0.05
391,2022,6,18,7,3.8,169.3,22.81,Summer,1449,0.15
392,2022,6,18,8,3.65,244.95,23.8,Summer,1798,0.15
393,2022,6,18,9,3.75,263.34,24.74,Summer,1881,0.15
394,2022,6,18,10,4.18,270.25,25.49,Summer,1869,0.2
395,2022,6,18,11,4.48,313.77,25.87,Summer,2052,0.2
396,2022,6,18,12,4.53,410.72,25.64,Summer,1884,0.2
397,2022,6,18,13,4.64,428.85,25.38,Summer,1875,0.2
398,2022,6,18,14,4.71,355.58,25.19,Summer,1887,0.2
399,2022,6,18,15,4.72,267.53,24.93,Summer,1887,0.15
400,2022,6,18,16,4.8,150.41,24.32,Summer,1881,0.15
